responseT,ProbLeft,ContrastR-L,Correct,Rowindex,SessionChange,StatusChange
1.2299000000000433,0.0999999999999999,1.0,1.0,1,1,1
2.7096999999998843,0.5,1.0,1.0,2,0,0
3.4206999999996697,0.5,1.0,1.0,3,0,0
0.8119000000001506,0.5,-0.5,1.0,4,0,0
0.4927999999999883,0.5,1.0,-1.0,5,0,0
0.9256999999997788,0.3,1.0,-1.0,6,0,0
2.046800000000076,0.5,0.5,-1.0,7,0,0
3.1780000000003383,0.5,1.0,1.0,8,0,0
1.0525000000002365,0.1999999999999999,-1.0,1.0,9,0,0
0.3892000000000735,0.5,1.0,-1.0,10,0,0
0.7387999999998556,0.3,-1.0,1.0,11,0,0
0.775899999999865,0.5,-0.5,1.0,12,0,0
1.9956999999999423,0.5,1.0,-1.0,13,0,0
0.3935000000001309,0.0999999999999999,1.0,-1.0,14,0,0
2.111000000000104,0.0,1.0,1.0,15,0,0
1.077099999999973,0.5,0.5,-1.0,16,0,0
0.8184999999998581,0.0999999999999999,0.5,-1.0,17,0,0
0.7583999999999378,0.0999999999999999,-0.5,1.0,18,0,0
2.456300000000056,0.5,1.0,-1.0,19,0,0
0.6155999999998585,0.0999999999999999,1.0,-1.0,20,0,0
0.625,0.5,-1.0,1.0,21,0,0
1.060399999999845,0.5,1.0,1.0,22,0,0
0.6194000000000415,0.1999999999999999,-1.0,1.0,23,0,0
0.8283999999998741,0.5,1.0,-1.0,24,0,0
2.7584999999999127,0.5,1.0,1.0,25,0,0
3.6118999999998778,0.5,-1.0,-1.0,26,0,0
0.4708000000000538,0.5,-1.0,1.0,27,0,0
0.8663000000001375,0.5,0.5,-1.0,28,0,0
1.4924000000000888,0.5,-0.5,-1.0,29,0,0
2.407799999999952,0.6,0.5,-1.0,30,0,0
1.706899999999905,0.5,-0.5,-1.0,31,0,0
1.6791000000000622,0.6,-0.5,-1.0,32,0,0
1.159400000000005,0.7,-0.5,1.0,33,0,0
1.6669999999999163,0.5,-0.5,1.0,34,0,0
0.7455999999999676,0.5,-1.0,-1.0,35,0,0
0.9661999999998444,0.5,1.0,-1.0,36,0,0
0.9272000000000844,0.3,1.0,-1.0,37,0,0
1.830500000000029,0.5,1.0,-1.0,38,0,0
1.6761000000001332,0.3,-1.0,1.0,39,0,0
0.6651999999999134,0.3,1.0,-1.0,40,0,0
0.8157000000001062,0.5,-1.0,1.0,41,0,0
2.921900000000278,0.5,0.5,-1.0,42,0,0
0.5788000000002285,0.3,-0.5,1.0,43,0,0
2.1978000000003703,0.1999999999999999,1.0,-1.0,44,0,0
2.519999999999982,0.1999999999999999,1.0,1.0,45,0,0
1.4726000000000568,0.0999999999999999,1.0,-1.0,46,0,0
1.015100000000075,0.1999999999999999,1.0,1.0,47,0,0
0.458599999999933,0.1999999999999999,-1.0,1.0,48,0,0
1.457800000000134,0.5,1.0,1.0,49,0,0
0.7580000000000382,0.5,1.0,-1.0,50,0,0
1.4791999999999916,0.1999999999999999,1.0,-1.0,51,0,0
1.822099999999864,0.1999999999999999,1.0,-1.0,52,0,0
1.323800000000119,0.1999999999999999,1.0,1.0,53,0,0
